Station ID, Station Name, January, February, March, April, May,  June, July, August, September, October, November, December
1611400,Nawiliwili,-0.006±0.013,-0.026±0.013,-0.038±0.013,-0.043±0.013,-0.042±0.013,-0.028±0.013,0.011±0.013,0.034±0.013,0.058±0.013,0.051±0.013,0.023±0.013,0.006±0.013
1612340,Honolulu,-0.012±0.012,-0.022±0.012,-0.029±0.012,-0.038±0.012,-0.035±0.012,-0.023±0.012,0.004±0.012,0.033±0.012,0.05±0.012,0.043±0.012,0.025±0.012,0.003±0.012
1612480,Mokuoloe,-0.009±0.014,-0.021±0.014,-0.029±0.014,-0.042±0.014,-0.041±0.014,-0.022±0.014,0.003±0.014,0.034±0.014,0.051±0.014,0.043±0.014,0.028±0.014,0.006±0.014
1615680,Kahului,-0.009±0.012,-0.019±0.012,-0.028±0.012,-0.039±0.012,-0.041±0.012,-0.023±0.012,0.004±0.012,0.035±0.012,0.055±0.012,0.045±0.012,0.023±0.012,-0.003±0.012
1617433,Kawaihae,-0.028±0.019,-0.038±0.019,-0.035±0.019,-0.035±0.019,-0.021±0.019,-0.003±0.02,0.006±0.02,0.042±0.02,0.051±0.019,0.04±0.019,0.02±0.019,0.001±0.019
1617760,Hilo,-0.008±0.013,-0.023±0.013,-0.028±0.013,-0.038±0.013,-0.04±0.013,-0.032±0.013,-0.002±0.013,0.04±0.013,0.053±0.013,0.046±0.013,0.029±0.013,0.003±0.013
1619910,Midway Atoll,0.044±0.016,0.016±0.016,-0.026±0.016,-0.062±0.016,-0.056±0.016,-0.044±0.016,-0.026±0.016,0.022±0.016,0.051±0.016,0.033±0.016,0.02±0.016,0.028±0.016
1630000,"Apra Harbor, Guam",-0.064±0.04,-0.03±0.04,-0.004±0.04,0.017±0.04,0.03±0.04,0.052±0.04,0.067±0.04,0.051±0.04,0.023±0.04,-0.02±0.04,-0.052±0.04,-0.07±0.04
1820000,"Kwajalein, Marshall Islands",-0.052±0.018,-0.01±0.018,0.025±0.018,0.034±0.018,0.027±0.018,0.016±0.018,0.016±0.018,0.007±0.018,0.006±0.018,0.009±0.018,-0.024±0.018,-0.053±0.018
1890000,"Wake Island, Pacific Ocean",-0.022±0.018,-0.029±0.019,-0.024±0.018,-0.025±0.019,-0.034±0.019,-0.011±0.018,0.021±0.018,0.043±0.018,0.046±0.018,0.03±0.018,0.016±0.018,-0.011±0.018
8410140,Eastport,-0.005±0.01,-0.015±0.01,-0.007±0.01,0.002±0.01,0.003±0.01,0.012±0.01,0.003±0.01,-0.009±0.01,-0.012±0.01,0.008±0.01,0.016±0.01,0.004±0.01
8411250,Cutler,-0.01±0.014,-0.021±0.014,-0.027±0.014,0.002±0.014,0.011±0.014,0.019±0.014,0.011±0.014,-0.001±0.014,-0.006±0.014,0.016±0.014,0.011±0.014,-0.003±0.014
8413320,Bar Harbor,-0.021±0.01,-0.03±0.01,-0.02±0.011,0.001±0.011,0.007±0.01,0.026±0.011,0.016±0.01,0.009±0.01,0.0±0.01,0.014±0.01,0.01±0.01,-0.011±0.01
